244,1,豏,-,w pół dojrzała fasola,
245,1,豋,-,ceremonialne naczynie,
246,1,豶,-,wykastrowana świnia,
247,1,豵,-,młoda świnia,
248,1,豳,-,państwo podczas dynastii Zhou,
249,1,豻,-,"rodzaj dzikiego psa
wiezienie
areszt
zakład karny",
250,1,豦,-,"walka
bój
bitwa
dzik
knur",
251,1,豢,-,hodowla zwierząt domowych,
252,1,豣,-,3-letnia świnia,
253,1,豭,-,"dzik
knur
świnia",
254,1,豨,-,"duży wieprz
świnia",
255,1,谽,-,"usta
buzia
otwieranie",
256,1,迨,-,"areszt
aresztowanie
zatrzymanie
chwytać
ująć
zająć
zawładnąć
aż
dopóki
póki
kiedy",
257,1,迣,-,przeskoczyć,
258,1,迤,-,"wychodzić na prostą ścieżkę
wiatr",
259,1,迻,-,"przesuwać
przestawiać
przemieszczać
transfer
przeniesienie
tłumaczyć
przełożyć",
260,1,迋,-,"oszukiwać
zwodzić
okłamać
iść do
podróż
podróżować
przestraszyć
straszyć
strach",
261,1,迊,-,"objeżdżać
omijać
objechać
robić okrążenie
robić obwód
robić obrót
obracać się",
262,1,迍,-,"wahać się
chwiać się",
263,1,迁,-,"zmieniać
poruszać
przesuwać
przenosić
przenosić stolicę",
264,1,迆,-,"wychodzić na prostą ścieżkę
wiatr",
265,1,迓,-,"gościnnie
jako gość
iść na spotkanie
otrzymać
odbierać",
266,1,运,-,"szczęście
los
bogactwo
uproszczony znak kanji na szczęście
bieg
statek
transport",
267,1,迕,-,"uparty
uporczywy
zawzięty
przewrotny
przekorny",
268,1,辥,-,odmiana trawy rosnącej na mokradłach,
269,1,辤,-,"wyrażenie albo fraza
wiadomość
zdanie
mowa
słowa",
270,1,辡,-,"rekryminacja
wzajemne oskarżenie
kłótnia
sprzeczka
spieranie się",
271,1,辠,-,"przestępstwo
zbrodnia
zło
trud
męka
cierpienie
grzech
wina",
272,1,达,-,"przybyć
osiągnąć
inteligentny
myślący
rozumny
śliski
gładki
równy",
273,1,轣,-,"odgłos skrzypienia
odgłos trzeszczenia",
274,1,轇,-,"skomplikowany
zawiły
złożony
zagmatwany
spór
dysputa
kłótnia
zatarg",
275,1,轎,-,palankin,
276,1,轏,-,sypialny wóz,
277,1,轒,-,"rydwan
wóz",
278,1,轑,-,"ruja
koleina
bruzda
wyżłobienie",
279,1,轕,-,wielki szyk z włóczniami i wozami,
280,1,轔,-,"dudnienie pojazdów
próg
wartość graniczna",
281,1,轘,-,przerwa pomiędzy wozami,
