140,連,"zabieranie ze sobą
prowadzenie
przewodzenie
dołączanie
łączenie
przyłączanie
wiązanie
partia
ekipa
grupa
gang
towarzystwo
klika",,"Genki kanji 1-12
Jōyō 4",true,"Kanji: 連
Meaning: take along
Meaning: lead
Meaning: join
Meaning: connect
Meaning: party
Meaning: gang
Meaning: clique"
141,別,"oddzielny
odrębny
oddzielanie
rozchodzenie się
rozgałęzienie się
rozwidlenie się
inny
różny
dodatkowy
specjalnie
odrębnie",,"Genki kanji 1-12
Jōyō 4",true,"Kanji: 別
Meaning: separate
Meaning: branch off
Meaning: diverge
Meaning: fork
Meaning: another
Meaning: extra
Meaning: specially"
142,度,"stopień
stopnie
występowanie
czas
klasyfikator na wystąpienia
rozważanie
rozpatrywanie
nastawienie
postawa",,"Genki kanji 1-12
Jōyō 3",true,"Kanji: 度
Meaning: degrees
Meaning: occurrence
Meaning: time
Meaning: counter for occurrences
Meaning: consider
Meaning: attitude"
143,赤,czerwony,,"Genki kanji 1-12
Jōyō 1",true,"Kanji: 赤
Meaning: red"
144,青,"niebieski
zielony",,"Genki kanji 1-12
Jōyō 1",true,"Kanji: 青
Meaning: blue
Meaning: green"
145,色,"kolor
zmysłowa przyjemność",,"Genki kanji 1-12
Jōyō 2",true,"Kanji: 色
Meaning: color"
146,物,"rzecz
przedmiot
kwestia
sprawa",,"Genki kanji 2-13
Jōyō 3",true,"Kanji: 物
Meaning: thing
Meaning: object
Meaning: matter"
147,鳥,"ptak
kurczak",,"Genki kanji 2-13
Jōyō 2",true,"Kanji: 鳥
Meaning: bird
Meaning: chicken"
148,料,"opłata
materiał",,"Genki kanji 2-13
Jōyō 4",true,"Kanji: 料
Meaning: fee
Meaning: materials"
149,理,"logika
ustalenie
plan
powód
przyczyna
sprawiedliwość
prawda",,"Genki kanji 2-13
Jōyō 2",true,"Kanji: 理
Meaning: logic
Meaning: arrangement
Meaning: reason
Meaning: justice
Meaning: truth"
150,特,specjalny,,"Genki kanji 2-13
Jōyō 4",true,"Kanji: 特
Meaning: special"
151,安,"relaks
spokój
pokój
tani
niski
cichy
wypoczęty
zadowolony
spokojny",,"Genki kanji 2-13
Jōyō 3",true,"Kanji: 安
Meaning: relax
Meaning: cheap
Meaning: low
Meaning: quiet
Meaning: rested
Meaning: contented
Meaning: peaceful"
152,飯,"jedzenie
pożywienie
posiłek
gotowany ryż",,"Genki kanji 2-13
Jōyō 4",true,"Kanji: 飯
Meaning: meal
Meaning: boiled rice"
153,肉,mięso,,"Genki kanji 2-13
Jōyō 2",true,"Kanji: 肉
Meaning: meat"
154,悪,"zły
niedobry
nikczemny
łajdak
łotr
fałszywy
błędny",,"Genki kanji 2-13
Jōyō 3",true,"Kanji: 悪
Meaning: bad
Meaning: vice
Meaning: rascal
Meaning: false
Meaning: evil
Meaning: wrong"
155,体,"ciało
substancja
obiekt
rzeczywistość
klasyfikator na obrazy",,"Genki kanji 2-13
Jōyō 2",true,"Kanji: 体
Meaning: body
Meaning: substance
Meaning: object
Meaning: reality
Meaning: counter for images"
156,空,"pusty
pustka
niebo",,"Genki kanji 2-13
Jōyō 1",true,"Kanji: 空
Meaning: empty
Meaning: sky
Meaning: void
Meaning: vacant
Meaning: vacuum"
157,港,"port
przystań",,"Genki kanji 2-13
Jōyō 3",true,"Kanji: 港
Meaning: harbor"
158,着,"noszenie
ubieranie się
zakładanie
przywdzianie
przybranie
przybieranie
osiąganie
przybywanie
przychodzenie
przyjeżdżanie
docieranie
klasyfikator na garnitury",,"Genki kanji 2-13
Jōyō 3",true,"Kanji: 着
Meaning: don
Meaning: arrive
Meaning: wear
Meaning: counter for suits of clothing"
159,同,"taki sam
identyczny
zgadzanie się
równy",,"Genki kanji 2-13
Jōyō 2",true,"Kanji: 同
Meaning: same
Meaning: agree
Meaning: equal"
160,海,"morze
ocean",,"Genki kanji 2-13
Jōyō 2",true,"Kanji: 海
Meaning: sea
Meaning: ocean"
161,昼,"dzień
pora dzienna
południe",,"Genki kanji 2-13
Jōyō 2",true,"Kanji: 昼
Meaning: daytime
Meaning: noon"
162,彼,"on
to
tamten",,"Genki kanji 2-14
Jōyō 8",true,"Kanji: 彼
Meaning: he
Meaning: that
Meaning: the"
163,代,"zamiennik
substytut
zamienianie
przerabianie
konwertowanie
zastępowanie
okres
czas
epoka
wiek
klasyfikator na dekady, epoki, wieki i etc
pokolenie
generacja
opłata",,"Genki kanji 2-14
Jōyō 3",true,"Kanji: 代
Meaning: substitute
Meaning: change
Meaning: convert
Meaning: replace
Meaning: period
Meaning: age
Meaning: counter for decades of ages, eras, etc.
Meaning: generation
Meaning: charge
Meaning: rate
Meaning: fee"
164,留,"zatrzymywanie
zamykanie",,"Genki kanji 2-14
Jōyō 5",true,"Kanji: 留
Meaning: detain
Meaning: fasten
Meaning: halt
Meaning: stop"
165,族,"szczep
plemię
bractwo
rodzina
klan",,"Genki kanji 2-14
Jōyō 3",true,"Kanji: 族
Meaning: tribe
Meaning: family"
166,親,"rodzic
rodzice
zażyłość
bliskość
krewny
poufałość
rozdający (karty)",,"Genki kanji 2-14
Jōyō 2",true,"Kanji: 親
Meaning: parent
Meaning: intimacy
Meaning: relative
Meaning: familiarity
Meaning: dealer (cards)"
167,切,"cięcie
przecinanie
odcięcie
odcinanie
bycie ostry",,"Genki kanji 2-14
Jōyō 2",true,"Kanji: 切
Meaning: cut
Meaning: cutoff
Meaning: be sharp"
